Primes,Primitive Roots
4677272997559633921,11
4677272997559643137,10
4677272997559673857,10
4677272997559674881,11
4677272997559708673,10
4677272997559738369,13
4677272997559748609,11
4677272997559763969,10
4677272997559766017,10
4677272997559816193,12
4677272997559908353,11
4677272997559923713,10
4677272997559951361,13
4677272997559965697,11
4677272997559979009,10
4677272997560011777,10
4677272997560014849,11
4677272997560020993,12
4677272997560068097,11
4677272997560073217,10
4677272997560101889,10
4677272997560103937,10
4677272997560117249,11
4677272997560125441,11
4677272997560132609,10
4677272997560211457,11
4677272997560217601,12
4677272997560229889,13
4677272997560258561,12
4677272997560286209,10
4677272997560312833,10
4677272997560323073,10
4677272997560396801,10
4677272997560472577,10
4677272997560534017,10
4677272997560535041,11
4677272997560549377,15
4677272997560570881,10
4677272997560574977,10
4677272997560580097,11
4677272997560583169,10
4677272997560584193,11
4677272997560610817,12
4677272997560613889,10
4677272997560620033,10
4677272997560624129,10
4677272997560654849,10
4677272997560673281,10
4677272997560697857,10
4677272997560709121,12
4677272997560721409,13
4677272997560768513,11
4677272997560777729,10
4677272997560805377,11
4677272997560814593,10
4677272997560826881,10
4677272997560832001,12
4677272997560841217,10
4677272997560881153,12
4677272997560893441,14
4677272997560900609,10
4677272997560902657,10
4677272997560918017,13
4677272997560949761,10
4677272997560968193,10
4677272997560982529,10
4677272997561011201,10
4677272997561041921,10
4677272997561075713,11
4677272997561084929,10
4677272997561100289,11
4677272997561106433,19
4677272997561142273,10
4677272997561161729,11
4677272997561163777,13
4677272997561164801,10
4677272997561182209,11
4677272997561183233,10
4677272997561212929,13
4677272997561226241,10
4677272997561271297,10
4677272997561308161,10
4677272997561323521,12
4677272997561332737,10
4677272997561372673,12
4677272997561413633,12
4677272997561415681,11
4677272997561440257,11
4677272997561444353,11
4677272997561456641,11
4677272997561490433,10
4677272997561499649,17
4677272997561530369,11
4677272997561535489,10
4677272997561551873,10
4677272997561556993,13
4677272997561581569,14
4677272997561607169,10
4677272997561613313,10
4677272997561622529,13
